Atl_croaker_(nibea98),Bay_anchovy,Black_drum_or_Spot,Black_sea_bass,Brd_striped_anchovy,Little_tunny_or_skipjack_tuna,Nor_sea_robin,Scup,Smallmouth_flounder,Southern_kingfish(nibea95),Str_sea_robin,Summ_flounder,Summ_flounder99a,Weakfish_Cyn,Windowpane_flounder,Am_butterfish,Atl_chub_mackerel,Frigate_or_bullet_tuna,Giant_trevally99,Hogchoker_trinectes,Nor_kingfish,Red_White_or_Spotted_hake,Spanish_mackerel,Tautog,Thread_herring,Atl_menhaden_LS16_or_river_herrings,Cobia,Cunner,Am_conger,Atl_or_nor_sand_lance,Bluefish,Silver_anchovy,Seaboard_goby,Nor_puffer,Silver_perch(nibea93),Sturgeon,Crested_blenny_refseq_not_full_length,Str_burrfish,Dwarf_goatfish,Fourspot_flounder,Nor_sennet95,Tuna_sp,Atl_moonfish,Atl_silverside,Gulf_stream_flounder,Str_cusk_eel,Nor_stargazer,Grey_triggerfish,Nor_pipefish,Planehead_filefish,Rough_scad,Str_killifish,Mummichog,Rough_silverside94,Sheepshead_minnow,Str_bass,White_mullet,Am_eel,Red_eye_round_herring,Inshore_lizardfish,Atl_mackerel,Flathead_grey_mullet,Silver_hake,Winter_or_Yellowtail_flounder,Atl_herring,Atl_cod,Am_gizzard_shad,Fourspine_stickleback,Catfish_sp,White_perch,Whitefish_Cor,Pac_sand_lance,White_catfish,Atl_salmon
0.020177178,0.009887821,0.019700354,0.085627525,0.00720255,0.007127262,0.752151981,0.017692674,0.000451728,0.004567471,0.014204332,0.011368484,0.00707707,0.023163601,0.01959997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.044936571,0.020750904,0.012989477,0.029527578,0.013369009,0.001347338,0.667795774,0.041293065,0.008776674,0.004535406,0,0.026766484,0.003178579,0.015342575,0.058514323,0.002343609,0.003216532,0.003880713,0.003415787,0.006395112,0.00423178,0.012135531,0.009611644,0.003643506,0.00200203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.063511589,0.015948034,0.066176788,0.039837714,0.022918555,0,0.576923907,0.013185722,0,0,0,0.027806552,0,0.007078424,0.042427381,0.003409729,0,0,0,0,0.003614744,0.010186024,0.002190427,0.005103802,0.021332384,0.070665544,0.003183133,0.004499547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.027996782,0.01232502,0.03848753,0.068897828,0,0,0.675720032,0.014191472,0.008946098,0,0,0.051681416,0.004183427,0,0.028865648,0.003636364,0,0,0.00769107,0,0,0,0.016765889,0.003218021,0.00302494,0.014770716,0,0,0.004440869,0.006918745,0.005921158,0.002316975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.010589079,0.000259779,0.03829882,0.136185952,0.002449343,0,0.612125486,0.005665652,0.008869591,0,0.009463371,0.021784309,0,0.003686385,0.047193152,0.005789356,0.000828818,0,0,0.003624533,0,0.005640911,0,0,0.004787352,0.077884163,0,0.001100967,0.000841189,0,0,0,0.00293179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.153284853,0.000522987,0.136673806,0.017557404,0.003785426,0,0.093963242,0.059520845,0.010509538,0,0.001743288,0.02055835,0.004744235,0.001021069,0.074052398,0.010248045,0,0.000373562,0.000684863,0,0.001133137,0.360947851,0,0.000697315,0,0.018889774,0,0,0,0.000373562,0.017445335,0,0.006973153,0.002677193,0.000323754,0.001295014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.138364163,0,0.179569207,0.046317649,0.008409793,0,0.201157941,0.053127913,0.023011628,0,0.014013051,0.079299347,0,0.002943918,0.075648889,0.017123792,0,0,0,0,0,0.046945685,0,0.042068593,0,0.017849958,0,0,0.003149993,0,0.006133163,0,0.005240175,0,0,0,0.002090182,0.037534959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.111077879,0.005176579,0.246554699,0.049718164,0.008374554,0,0.124836075,0.106142874,0.006073853,0.000368112,0.013723686,0.077407109,0.015483723,0.004049235,0.046796273,0.042390429,0,0,0,0.000954791,0.006315426,0.019210859,0.000782239,0.004371333,0,0.091844012,0,0,0,0,0.015437709,0,0,0.000931784,0,0,0,0.0006557,0.001322903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.049379385,0.022558014,0.051915812,0.050566649,0.00982191,0,0.113167836,0.023313546,0.006475985,0.006961684,0.004587156,0.009552078,0,0.012088505,0.008796546,0.150512682,0,0,0,0,0.005990286,0.007717215,0,0.00998381,0.041392337,0.385590934,0,0,0.000593632,0.001295197,0.013707501,0,0.001996762,0,0,0,0,0,0,0.001511063,0,0,0.001672963,0.00124123,0.007609282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.164526271,0.044228925,0.112277523,0.069407439,0.016439305,0,0.233267612,0.064478312,0.023713098,0.015480124,0.001412128,0.065250986,0.006314612,0.015053821,0.035036769,0.044388788,0,0,0,0,0.007913247,0.006474475,0,0.012655867,0,0.03064052,0,0,0,0,0.004822551,0,0.018757327,0,0,0,0,0,0,0,0.003783438,0,0,0,0,0.003676862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
